OBJECTID,GEO_ID_TRT,TRACT_LBL,E19113069,M19113069
113,53033010600,Tract 010600,117434,12011
114,53033010701,Tract 010701,67617,9238
115,53033010702,Tract 010702,40096,11213
116,53033010800,Tract 010800,96410,13232
117,53033010900,Tract 010900,96591,26274
118,53033011001,Tract 011001,33992,14539
119,53033011002,Tract 011002,50406,9072
120,53033011101,Tract 011101,54844,11207
121,53033011102,Tract 011102,90208,10989
122,53033011200,Tract 011200,33194,4235
123,53033011300,Tract 011300,67788,14294
124,53033011401,Tract 011401,65134,16520
125,53033011402,Tract 011402,70347,19805
126,53033011500,Tract 011500,128398,20774
127,53033011600,Tract 011600,145022,15176
128,53033011700,Tract 011700,78491,10067
129,53033011800,Tract 011800,50294,11645
130,53033011900,Tract 011900,101333,6817
131,53033012000,Tract 012000,130156,15492
132,53033012100,Tract 012100,137279,17716
133,53033020100,Tract 020100,132639,20811
134,53033020200,Tract 020200,97330,17993
135,53033020300,Tract 020300,90028,11636
136,53033020401,Tract 020401,88333,21227
137,53033020402,Tract 020402,94773,7818
138,53033020500,Tract 020500,84554,15599
139,53033020600,Tract 020600,114688,8039
140,53033020700,Tract 020700,76750,23544
141,53033020800,Tract 020800,123287,12513
142,53033020900,Tract 020900,98634,9995
143,53033021000,Tract 021000,93370,13883
144,53033021100,Tract 021100,82696,7862
145,53033021300,Tract 021300,90833,26428
146,53033021400,Tract 021400,115000,17906
147,53033021500,Tract 021500,137031,19160
148,53033021600,Tract 021600,124125,10172
149,53033021700,Tract 021700,108059,12123
